ID,Make,Model,Make_Year,Color,Body_Type,kilometers_run,No_of_Owners,Seating_Capacity,Fuel_Type,Fuel_Tank_Capacity(L),CC_Displacement,Transmission,Transmission_Type,Power(BHP),Torque(Nm),kilometer_at_liter,Price
433,9,43,2017,7,4,84623.0,1,5,2,35,998,5,2,67.04,90.0,23.1,5355.555555555556
434,3,11,2016,12,4,36822.0,1,5,2,40,1199,5,2,88.7,110.0,18.7,6455.555555555556
435,4,27,2011,12,4,49985.0,1,5,2,35,1197,5,1,68.0,99.08,19.81,3555.555555555556
436,4,14,2018,11,2,25411.0,1,5,2,60,1591,6,1,122.0,154.0,15.29,13066.666666666666
437,4,14,2019,13,2,26198.0,1,5,2,55,1696,6,2,121.33,151.0,16.8,14155.555555555557
438,9,41,2016,7,4,21812.0,1,5,2,35,998,5,1,67.0,90.0,24.07,4022.222222222222
439,11,63,2020,13,4,15591.0,1,5,2,28,1298,5,2,67.0,91.0,22.0,5433.333333333333
440,3,10,2015,13,1,50821.0,2,5,2,40,1497,5,1,117.3,145.0,18.0,9055.555555555557
441,4,14,2017,11,2,57167.0,1,5,2,60,1591,6,1,122.0,154.0,15.29,11822.222222222224
442,4,27,2014,12,4,62904.0,1,5,2,35,1197,5,1,68.0,99.08,19.81,4322.222222222223
443,3,11,2018,12,4,13074.0,1,5,2,40,1199,5,1,88.51,110.0,16.6,7944.444444444444
444,2,4,2016,7,2,96471.0,1,5,1,52,1498,5,1,99.0,205.0,22.7,6977.777777777777
445,4,16,2015,11,4,40959.0,1,5,2,32,814,5,1,55.2,74.5,21.1,3522.222222222222
446,2,6,2020,13,1,18300.0,1,5,2,42,1798,5,1,94.93,119.0,18.5,8100.0
447,9,41,2017,7,4,32419.0,1,5,2,35,998,5,1,67.0,90.0,24.07,4400.0
448,9,47,2016,3,3,35128.0,1,7,1,45,1248,5,1,89.0,200.0,24.52,10544.444444444443
449,4,27,2016,7,4,36707.0,1,5,2,35,1197,5,1,78.9,111.8,20.36,5033.333333333333
450,9,47,2016,7,3,99495.0,1,7,1,45,1248,5,1,89.0,200.0,24.52,9977.777777777776
451,9,41,2011,11,4,69077.0,1,5,2,35,998,5,1,67.1,90.0,20.92,3122.222222222222
452,4,15,2017,7,4,81673.0,1,5,2,45,1197,5,1,81.83,114.7,18.6,6977.777777777777
453,4,15,2017,3,4,22127.0,1,5,2,45,1197,5,1,81.83,114.7,18.6,7922.222222222223
454,9,56,2011,5,4,43763.0,1,5,2,35,998,5,1,67.1,90.0,18.9,3755.555555555556
455,9,50,2014,7,4,45887.0,2,5,2,43,1197,5,1,85.0,113.0,18.5,4944.444444444444
456,9,43,2015,11,4,68859.0,1,5,2,35,998,5,2,67.04,90.0,23.1,4966.666666666667
457,4,15,2017,13,4,24353.0,1,5,2,45,1197,5,1,81.83,114.7,18.6,6888.888888888889
458,2,6,2017,13,1,53467.0,1,5,2,42,1194,5,1,94.93,119.0,18.5,5822.222222222223
459,4,24,2017,12,1,18732.0,1,5,2,45,1591,6,2,121.3,151.0,17.0,11633.333333333334
460,4,27,2015,13,4,24631.0,1,5,2,35,1197,5,1,78.9,111.8,20.36,4933.333333333333
461,9,47,2016,13,3,54971.0,1,7,1,45,1248,5,1,89.0,200.0,24.52,10066.666666666666
462,9,52,2022,13,4,12076.0,1,5,3,27,998,5,1,58.0,78.0,31.19,7622.222222222223
463,4,27,2013,13,4,35425.0,1,5,2,35,1197,5,1,78.9,111.7,20.36,4133.333333333333
464,4,15,2016,12,4,54734.0,1,5,1,45,1396,6,1,89.0,220.0,22.54,7600.0
465,9,41,2015,12,4,39807.0,1,5,2,35,998,5,1,67.0,90.0,24.07,3911.1111111111113
466,4,27,2014,7,4,41667.0,2,5,2,35,1197,5,1,78.9,111.8,20.36,4355.555555555556
467,9,50,2015,5,4,28840.0,1,5,2,43,1197,5,1,85.0,113.0,18.5,5433.333333333333
468,4,26,2014,3,1,69402.0,1,5,2,43,1197,4,2,81.0,114.0,16.1,6122.222222222223
469,3,11,2017,13,4,53613.0,2,5,2,40,1199,7,1,88.51,110.0,17.01,7644.444444444444
470,6,31,2019,13,2,27562.0,1,5,2,50,1353,6,1,138.0,242.0,16.1,17211.11111111111
471,3,11,2018,5,4,14952.0,1,5,2,40,1199,5,1,88.51,110.0,16.6,7888.888888888889
472,9,56,2011,13,4,71380.0,1,5,2,35,998,5,1,67.1,90.0,18.9,3422.222222222222
473,8,34,2015,13,2,44987.0,1,7,1,60,2179,5,1,120.0,280.0,15.4,9422.222222222224
474,4,15,2018,7,4,34491.0,1,5,2,45,1197,5,2,82.0,115.0,18.6,8744.444444444445
475,4,29,2016,13,5,88321.0,1,5,2,45,1197,5,2,82.0,115.0,17.19,7088.888888888889
476,11,63,2021,5,4,11275.0,1,5,2,28,1298,5,2,67.0,91.0,22.0,5866.666666666667
477,4,24,2013,12,1,84391.0,1,5,2,43,1591,4,2,121.0,158.0,16.61,6733.333333333333
478,9,54,2012,11,1,93004.0,1,5,2,42,1197,5,1,85.8,114.0,19.1,4911.111111111111
479,9,44,2019,3,1,23861.0,2,5,2,43,1696,5,1,103.25,138.0,20.65,9544.444444444443
480,4,18,2016,7,4,43877.0,1,5,2,43,1197,5,1,82.0,114.0,18.9,5711.111111111111
481,3,10,2015,12,1,76926.0,1,5,2,40,1497,5,1,117.3,145.0,17.8,7366.666666666667
482,4,15,2016,3,4,94389.0,1,5,2,45,1197,5,1,81.83,114.7,18.6,6311.111111111111
