ID,Make,Model,Make_Year,Color,Body_Type,kilometers_run,No_of_Owners,Seating_Capacity,Fuel_Type,Fuel_Tank_Capacity(L),CC_Displacement,Transmission,Transmission_Type,Power(BHP),Torque(Nm),kilometer_at_liter,Price
781,MarutiSuzuki,Baleno,2019,blue,hatchback,26533.0,1,5,petrol,37,1197,5-Speed,Manual,81.8,113.0,21.01,9044.444444444445
782,MarutiSuzuki,Alto800,2019,white,hatchback,15928.0,1,5,petrol,35,796,5-Speed,Manual,47.33,69.0,22.05,4344.444444444444
783,Hyundai,Newi20,2021,grey,hatchback,14133.0,1,5,petrol,37,998,6-Speed,Automatic,118.0,172.0,20.2,11488.888888888889
784,MarutiSuzuki,AltoK10,2015,blue,hatchback,29978.0,2,5,petrol,35,998,5-Speed,Manual,67.0,90.0,24.07,3888.8888888888887
785,MarutiSuzuki,Dzire,2018,grey,sedan,32454.0,1,5,petrol,37,1197,5-Speed,Automatic,88.5,113.0,23.26,8477.777777777777
786,MarutiSuzuki,SwiftDzire,2012,beige,sedan,70628.0,1,5,diesel,42,1248,5-Speed,Manual,74.0,190.0,23.4,5411.111111111111
787,Ford,Figo,2020,grey,hatchback,11762.0,1,5,diesel,40,1596,5-Speed,Manual,98.96,215.0,24.4,8744.444444444445
788,Ford,Figo,2020,grey,hatchback,11762.0,1,5,diesel,40,1596,5-Speed,Manual,98.96,215.0,24.4,8744.444444444445
789,Ford,Figo,2020,grey,hatchback,11762.0,1,5,diesel,40,1499,5-Speed,Manual,98.96,215.0,24.4,8744.444444444445
790,Ford,Figo,2020,grey,hatchback,11762.0,1,5,diesel,40,1499,5-Speed,Manual,98.96,215.0,24.4,8744.444444444445
791,Hyundai,Grandi10,2017,white,hatchback,18411.0,1,5,petrol,43,1197,5-Speed,Automatic,81.86,113.75,18.9,5844.444444444444
792,Hyundai,Grandi10,2018,grey,hatchback,42101.0,1,5,petrol,43,1197,5-Speed,Automatic,81.86,113.75,18.9,6344.444444444444
793,Toyota,Yaris,2018,brown,sedan,73664.0,1,5,petrol,42,1596,5-Speed,Manual,105.94,140.0,18.1,11233.333333333334
